"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT12","WT14","WT15","WT16","WT17","WT18","WT22"
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-01",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-02",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-03",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-04",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-05",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-06",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-07",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-08",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-09",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-10",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-11",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-12",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-13",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-14",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-15",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-16",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-17",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-18",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-19",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-20",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-21",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-22",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-23",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-24",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-25",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-26",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-27",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-28",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-29",,,"    1",,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-30",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-01-31",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-02-01",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-02-02",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-02-03",,,,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1987-02-04",,,,,,,,,,,,,,,,,,
