"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03","WV20"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-01",,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-02",,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-03","    1",,,,,"    1",,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-04",,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-05",,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-06",,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-07",,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-08",,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-09",,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-10",,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-11","    1",,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-12","    1",,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-13","    1",,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-14","    1",,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-15","    1",,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-16",,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-17","    1",,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-18","    1",,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-19","    1",,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-20",,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-21",,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-22",,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-23",,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-24",,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-25",,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-26","    1",,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-27",,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-28","    1",,,,,"    1",,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-29","    1",,,,,"    1",,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-30","    1",,,,,"    1",,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-01-31","    1",,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-02-01","    1",,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-02-02",,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-02-03","    1",,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2001-02-04","    1",,,,,,,,,,,,,,,,,,,,,
