date,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT12,WT13,WT14,WT15,WT16,WT17,WT18,WV01,WV03,WV07,WV18,WV20
1979-01-09,,,,,,,,,,,,,,,,,,,,,,,
1979-01-10,,,,,,,,,,,,,,,,,,,,,,,
1979-01-11,,,,,,,,,,,,,,,,,,,,,,,
1979-01-12,,,,,,,,,,,,,,,,,,,,,,,
1979-01-19,,,,,,,,,,,,,,,,,,,,,,,
1979-01-25,,,,,,,,,,,,,,,,,,,,,,,
1979-03-02,,,,,,,,,,,,,,,,,,,,,,,
1979-03-21,,,,,,,,,,,,,,,,,,,,,,,
1979-03-28,,,,,,,,,,,,,,,,,,,,,,,
1979-01-10,,,,,,,,,,,,,,,,,,,,,,,
1979-01-11,,,,,,,,,,,,,,,,,,,,,,,
1979-01-19,,,,,,,,,,,,,,,,,,,,,,,
1979-01-18,,,,,,,,,,,,,,,,,,,,,,,
1979-01-25,,,,,,,,,,,,,,,,,,,,,,,
1979-03-13,,,,,,,,,,,,,,,,,,,,,,,
1979-03-28,,,,,,,,,,,,,,,,,,,,,,,
1979-05-19,,,,,,,,,,,,,,,,,,,,,,,
1979-05-20,,,,,,,,,,,,,,,,,,,,,,,
1979-05-24,,,,,,,,,,,,,,,,,,,,,,,
1979-05-25,,,,,,,,,,,,,,,,,,,,,,,
1979-06-04,,,,,,,,,,,,,,,,,,,,,,,
1979-06-29,,,,,,,,,,,,,,,,,,,,,,,
1979-07-17,,,,,,,,,,,,,,,,,,,,,,,
1979-07-29,,,,,,,,,,,,,,,,,,,,,,,
1979-08-04,,,,,,,,,,,,,,,,,,,,,,,
1979-08-10,,,,,,,,,,,,,,,,,,,,,,,
1979-08-11,,,,,,,,,,,,,,,,,,,,,,,
1979-08-12,,,,,,,,,,,,,,,,,,,,,,,
1979-08-13,,,,,,,,,,,,,,,,,,,,,,,
1979-08-15,,,,,,,,,,,,,,,,,,,,,,,
1979-08-17,,,,,,,,,,,,,,,,,,,,,,,
1979-08-19,,,,,,,,,,,,,,,,,,,,,,,
1979-09-12,,,,,,,,,,,,,,,,,,,,,,,
1979-09-13,,,,,,,,,,,,,,,,,,,,,,,
1979-09-14,,,,,,,,,,,,,,,,,,,,,,,
1979-12-21,,,,,,,,,,,,,,,,,,,,,,,
1979-03-13,,,,,,,,,,,,,,,,,,,,,,,
1979-05-19,,,,,,,,,,,,,,,,,,,,,,,
1979-09-14,,,,,,,,,,,,,,,,,,,,,,,
1979-01-08,,,,,,,,,,,,,,,,,,,,,,,
1979-01-09,,,,,,,,,,,,,,,,,,,,,,,
1979-01-10,,,,,,,,,,,,,,,,,,,,,,,
1979-01-11,,,,,,,,,,,,,,,,,,,,,,,
1979-01-12,,,,,,,,,,,,,,,,,,,,,,,
1979-01-29,,,,,,,,,,,,,,,,,,,,,,,
1979-12-03,,,,,,,,,,,,,,,,,,,,,,,
1979-12-04,,,,,,,,,,,,,,,,,,,,,,,
1979-12-06,,,,,,,,,,,,,,,,,,,,,,,
1979-12-13,,,,,,,,,,,,,,,,,,,,,,,
1979-12-28,,,,,,,,,,,,,,,,,,,,,,,
1979-01-05,,,,,,,,,,,,,,,,,,,,,,,
1979-01-09,,,,,,,,,,,,,,,,,,,,,,,
1979-01-14,,,,,,,,,,,,,,,,,,,,,,,
1979-01-15,,,,,,,,,,,,,,,,,,,,,,,
1979-01-16,,,,,,,,,,,,,,,,,,,,,,,
1979-01-17,,,,,,,,,,,,,,,,,,,,,,,
1979-01-18,,,,,,,,,,,,,,,,,,,,,,,
1979-01-19,,,,,,,,,,,,,,,,,,,,,,,
1979-01-22,,,,,,,,,,,,,,,,,,,,,,,
1979-01-24,,,,,,,,,,,,,,,,,,,,,,,
1979-01-25,,,,,,,,,,,,,,,,,,,,,,,
