date,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT12,WT13,WT14,WT15,WT16,WT17,WT18,WV01,WV03,WV07,WV18,WV20
2020-03-10,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,,,,,,,,,,,,,,,,,,,,,,,
2020-04-12,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,,,,,,,,,,,,,,,,,,,,,,,
2020-07-20,,,,,,,,,,,,,,,,,,,,,,,
2020-11-02,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,,,,,,,,,,,,,,,,,,,,,,,
2020-09-08,,,,,,,,,,,,,,,,,,,,,,,
2020-09-09,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25,,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,,,,,,,,,,,,,,,,,,,,,,,
2020-09-27,,,,,,,,,,,,,,,,,,,,,,,
2020-10-02,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24,,,,,,,,,,,,,,,,,,,,,,,
2021-06-29,,,,,,,,,,,,,,,,,,,,,,,
2021-07-11,,,,,,,,,,,,,,,,,,,,,,,
2021-07-12,,,,,,,,,,,,,,,,,,,,,,,
2021-07-15,,,,,,,,,,,,,,,,,,,,,,,
2021-07-18,,,,,,,,,,,,,,,,,,,,,,,
2021-07-20,,,,,,,,,,,,,,,,,,,,,,,
2021-07-22,,,,,,,,,,,,,,,,,,,,,,,
2021-07-25,,,,,,,,,,,,,,,,,,,,,,,
2021-07-26,,,,,,,,,,,,,,,,,,,,,,,
2021-07-29,,,,,,,,,,,,,,,,,,,,,,,
2021-07-31,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,,,,,,,,,,,,,,,,,,,,,,,
2021-05-20,,,,,,,,,,,,,,,,,,,,,,,
2021-05-21,,,,,,,,,,,,,,,,,,,,,,,
2021-05-22,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,,,,,,,,,,,,,,,,,,,,,,,
2021-08-07,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,,,,,,,,,,,,,,,,,,,,,,,
2021-07-04,,,,,,,,,,,,,,,,,,,,,,,
2021-07-11,,,,,,,,,,,,,,,,,,,,,,,
2021-07-25,,,,,,,,,,,,,,,,,,,,,,,
2021-07-29,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,,,,,,,,,,,,,,,,,,,,,,,
2021-08-07,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08,,,,,,,,,,,,,,,,,,,,,,,
2021-08-09,,,,,,,,,,,,,,,,,,,,,,,
2021-08-10,,,,,,,,,,,,,,,,,,,,,,,
2021-08-11,,,,,,,,,,,,,,,,,,,,,,,
2021-08-12,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,,,,,,,,,,,,,,,,,,,,,,,
2021-08-17,,,,,,,,,,,,,,,,,,,,,,,
2021-08-18,,,,,,,,,,,,,,,,,,,,,,,
2021-08-19,,,,,,,,,,,,,,,,,,,,,,,
2021-08-20,,,,,,,,,,,,,,,,,,,,,,,
2021-08-21,,,,,,,,,,,,,,,,,,,,,,,
2021-08-24,,,,,,,,,,,,,,,,,,,,,,,
2021-08-25,,,,,,,,,,,,,,,,,,,,,,,
2021-09-28,,,,,,,,,,,,,,,,,,,,,,,
2021-09-29,,,,,,,,,,,,,,,,,,,,,,,
2021-10-11,,,,,,,,,,,,,,,,,,,,,,,
2021-11-22,,,,,,,,,,,,,,,,,,,,,,,
2022-07-14,,,1.0,,,,,,,,,,,,,,,,,,,,
2022-07-17,,,1.0,,,,,,,,,,,,,,,,,,,,
2022-07-18,,,1.0,,,,,,,,,,,,,,,,,,,,
2022-07-25,,,1.0,,,,,,,,,,,,,,,,,,,,
2022-07-27,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
2022-07-28,,,1.0,,,,,,,,,,,,,,,,,,,,
2022-07-29,,,1.0,,,,,,,,,,,,,,,,,,,,
2022-07-31,,,1.0,,,,,,,,,,,,,,,,,,,,
2022-08-04,,,1.0,,,,,,,,,,,,,,,,,,,,
2022-08-11,,,1.0,,,,,,,,,,,,,,,,,,,,
2022-08-12,,,1.0,,,,,,,,,,,,,,,,,,,,
2022-08-14,,,1.0,,,,,,,,,,,,,,,,,,,,
2022-08-15,,,1.0,,,,,,,,,,,,,,,,,,,,
2022-08-18,,,1.0,,,,,,,,,,,,,,,,,,,,
2022-09-08,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
2022-09-11,,,1.0,,,,,,,,,,,,,,,,,,,,
2022-09-12,,,1.0,,,,,,,,,,,,,,,,,,,,
2022-09-13,,,1.0,,,,,,,,,,,,,,,,,,,,
2022-09-28,,,1.0,,,,,,,,,,,,,,,,,,,,
2022-03-04,,,,,,,,1.0,,,,,,,,,,,,,,,
2022-04-11,,,,,,,,1.0,,,,,,,,,,,,,,,
2022-05-08,,,,,,,,1.0,,,,,,,,,,,,,,,
2022-05-29,,,,,,,,1.0,,,,,,,,,,,,,,,
2022-07-16,,,,,,,,1.0,,,,,,,,,,,,,,,
2022-07-27,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
2022-08-05,,,,,,,,1.0,,,,,,,,,,,,,,,
2022-08-24,,,,,,,,1.0,,,,,,,,,,,,,,,
2022-09-08,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
2022-09-09,,,,,,,,1.0,,,,,,,,,,,,,,,
2022-10-15,,,,,,,,1.0,,,,,,,,,,,,,,,
2022-10-19,,,,,,,,1.0,,,,,,,,,,,,,,,
2022-10-22,,,,,,,,1.0,,,,,,,,,,,,,,,
2022-11-20,,,,,,,,1.0,,,,,,,,,,,,,,,
