Address,Latitude,Longitude
"Newark, DE",39.683748,-75.749642
"Columbus, OH",39.961195,-82.998805
"Franklin, ME",44.587511,-68.231624
"East Greenwich, RI",41.634267,-71.513032
"Mentor Headlands, OH",41.739739,-81.311756
"Washington DC, WA",38.907196,-77.036854
"Tucson, AZ",32.253952,-110.974182
"New Gretna, NJ",39.592336,-74.451168
"Orlando, FL",28.538372,-81.378941
"Conover, NC",35.706539,-81.218714
"Stevensville, MT",46.509896,-114.093161
"Miami, FL",25.761694,-80.191813
"Springfield, OR",44.046241,-123.022042
"Effingham, IL",39.120018,-88.5434
"Crossville, TN",35.94898,-85.02691
"Bowie, MD",39.006791,-76.779138
"Bradford, TN",36.076455,-88.81004
"Eureka Springs, AR",36.400647,-93.739292
"Delray Beach, FL",26.461486,-80.072817
"Springfield, IL",39.781746,-89.650163
"Tupelo, MS",34.257622,-88.703377
"Halfmoon bay, CA",37.463534,-122.428605
"Oklahoma City, OK",35.467537,-97.516446
"Galva, IA",42.506928,-95.417212
"Riverside, CA",33.980582,-117.375472
"Sterlng, CO",40.625533,-103.207706
"Westcliffe, CO",38.134747,-105.465845
"Millen, GA",32.804035,-81.949285
"Flushing, NY",40.767472,-73.833061
"Overland Park, KS",38.982249,-94.670789
"Cape Coral, FL",26.562865,-81.949533
"Belhaven, NC",35.54015,-76.622968
"Franklin, NC",35.182339,-83.381528
"San Bernardino, CA",34.10832,-117.289786
"Santa Barbara, CA",34.420824,-119.698169
"Conway, NH",43.979171,-71.120367
"Flower mound, TX",33.014594,-97.096948
"Greenwood, IN",39.613655,-86.106664
"Deerfield Beach, FL",26.318439,-80.099762
"Gilbert, AZ",33.352807,-111.789027
"Calverton, NY",40.906511,-72.743421
"Buckeye, AZ",33.370295,-112.583798
"Baltimore, MD",39.290369,-76.612194
"Lakeville, MA",41.845909,-70.949542
"Savannah, GA",32.080891,-81.09122
"Richmond, VA",37.54075,-77.436049
"Hercules, CA",38.017163,-122.288566
"Kent, OH",41.153648,-81.357866
"Phila, PA",39.952608,-75.165202
"Harleysville, PA",40.279547,-75.387138
"woodsville, NH",44.151261,-72.036728
"Belgium, WI",43.499747,-87.850383
"Homewood, IL",41.567663,-87.654201
"Bullhead City, AZ",35.135937,-114.528611
"Denver, CO",39.739241,-104.990241
"Shenandoah, IA",40.766718,-95.376167
"Port St. Lucie, FL",27.273072,-80.358204
"Harrisburg/Camp Hill, PA",40.231808,-76.93169
"Utica, KY",37.602275,-87.113073
"Fort Lee, NJ",40.850932,-73.970127
"Albuquerque, NM",35.084413,-106.650428
"Orefield, PA",40.63495,-75.584946
"Creswell, OR",43.917875,-123.024538
"Liberty Hill, TX",30.664938,-97.922539
"Pottstown, PA",40.245348,-75.649628
