,Custom ID,Latitude,Longitude,year
0,"Las Vegas, NV",36.171573,-115.139123,1979
1,"Phoenix, AZ",33.448379,-112.074018,1979
2,"Albuquerque, NM",35.084413,-106.650428,1979
3,"Los Angeles, CA",34.052221,-118.243706,1980
4,"Orlando, FL",28.538372,-81.378941,1981
5,"Albuquerque, NM",35.084413,-106.650428,1981
6,"Los Angeles, CA",34.052221,-118.243706,1982
7,"Las Vegas, NV",36.171573,-115.139123,1982
8,"Seattle, WA",47.606197,-122.332076,1982
9,"Seattle, WA",47.606197,-122.332076,1983
10,"Portland, OR",45.515259,-122.678377,1983
11,"San Diego, CA",32.715751,-117.16107,1983
12,"Phoenix, AZ",33.448379,-112.074018,1984
13,"Orlando, FL",28.538372,-81.378941,1984
14,"Los Angeles, CA",34.052221,-118.243706,1984
15,"Portland, OR",45.515259,-122.678377,1985
16,"Chicago, IL",41.878133,-87.629782,1985
17,"Orlando, FL",28.538372,-81.378941,1985
18,"San Diego, CA",32.715751,-117.16107,1985
19,"Phoenix, AZ",33.448379,-112.074018,1985
20,"Los Angeles, CA",34.052221,-118.243706,1986
21,"Seattle, WA",47.606197,-122.332076,1986
22,"Phoenix, AZ",33.448379,-112.074018,1986
23,"Chicago, IL",41.878133,-87.629782,1986
24,"Seattle, WA",47.606197,-122.332076,1987
25,"Las Vegas, NV",36.171573,-115.139123,1987
26,"Chicago, IL",41.878133,-87.629782,1988
27,"Los Angeles, CA",34.052221,-118.243706,1988
28,"Phoenix, AZ",33.448379,-112.074018,1988
29,"Tucson, AZ",32.253952,-110.974182,1988
30,"Phoenix, AZ",33.448379,-112.074018,1989
31,"Tucson, AZ",32.253952,-110.974182,1989
32,"San Diego, CA",32.715751,-117.16107,1989
33,"Albuquerque, NM",35.084413,-106.650428,1989
34,"San Diego, CA",32.715751,-117.16107,1990
35,"Los Angeles, CA",34.052221,-118.243706,1990
36,"Phoenix, AZ",33.448379,-112.074018,1991
37,"Las Vegas, NV",36.171573,-115.139123,1991
38,"Portland, OR",45.515259,-122.678377,1991
39,"Seattle, WA",47.606197,-122.332076,1992
40,"Tucson, AZ",32.253952,-110.974182,1992
41,"Las Vegas, NV",36.171573,-115.139123,1992
42,"Los Angeles, CA",34.052221,-118.243706,1992
43,"Albuquerque, NM",35.084413,-106.650428,1992
44,"Phoenix, AZ",33.448379,-112.074018,1993
45,"Tucson, AZ",32.253952,-110.974182,1993
46,"Albuquerque, NM",35.084413,-106.650428,1993
47,"Los Angeles, CA",34.052221,-118.243706,1994
48,"Albuquerque, NM",35.084413,-106.650428,1994
49,"Portland, OR",45.515259,-122.678377,1994
50,"San Diego, CA",32.715751,-117.16107,1994
51,"Las Vegas, NV",36.171573,-115.139123,1994
52,"Seattle, WA",47.606197,-122.332076,1994
53,"Tucson, AZ",32.253952,-110.974182,1995
54,"Seattle, WA",47.606197,-122.332076,1995
55,"Phoenix, AZ",33.448379,-112.074018,1995
56,"Los Angeles, CA",34.052221,-118.243706,1995
57,"Albuquerque, NM",35.084413,-106.650428,1995
58,"Las Vegas, NV",36.171573,-115.139123,1995
59,"Orlando, FL",28.538372,-81.378941,1995
60,"San Diego, CA",32.715751,-117.16107,1995
61,"San Diego, CA",32.715751,-117.16107,1996
62,"Los Angeles, CA",34.052221,-118.243706,1996
63,"Seattle, WA",47.606197,-122.332076,1996
64,"Portland, OR",45.515259,-122.678377,1996
65,"Tucson, AZ",32.253952,-110.974182,1996
66,"Phoenix, AZ",33.448379,-112.074018,1996
67,"Phoenix, AZ",33.448379,-112.074018,1997
68,"Albuquerque, NM",35.084413,-106.650428,1997
69,"Los Angeles, CA",34.052221,-118.243706,1997
70,"Las Vegas, NV",36.171573,-115.139123,1997
71,"Seattle, WA",47.606197,-122.332076,1997
