word,frequency,rank
light,54787,1
sky,26882,2
object,26373,3
bright,20253,4
moving,14285,5
white,12240,6
saw,11062,7
orange,10799,8
red,10723,9
craft,8561,10
seen,8252,11
shaped,8201,12
ufo,8048,13
flying,7836,14
like,7617,15
two,6418,16
star,6297,17
large,6270,18
one,5882,19
night,5830,20
hovering,5569,21
across,5323,22
green,5248,23
triangle,5179,24
shape,5172,25
note,5013,26
orb,4982,27
pd,4920,28
nuforc,4911,29
north,4728,30
fast,4703,31
formation,4641,32
west,4610,33
east,4608,34
ball,4568,35
blue,4419,36
south,4416,37
looked,4217,38
fireball,4025,39
speed,4016,40
high,3999,41
slowly,3988,42
flashing,3719,43
three,3678,44
low,3635,45
sound,3618,46
around,3582,47
report,3569,48
glowing,3504,49
sphere,3497,50
sighting,3495,51
triangular,3358,52
appeared,3358,53
traveling,3287,54
disappeared,3257,55
moved,3220,56
minute,3062,57
strange,2918,58
line,2907,59
round,2863,60
near,2814,61
color,2802,62
time,2765,63
second,2702,64
black,2672,65
circular,2623,66
cloud,2596,67
pm,2586,68
small,2510,69
driving,2503,70
anonymous,2500,71
noticed,2427,72
slow,2421,73
direction,2419,74
looking,2391,75
observed,2314,76
satellite,2306,77
circle,2291,78
back,2225,79
silent,2189,80
aircraft,2122,81
flash,2104,82
stationary,2076,83
went,2062,84
outside,2049,85
area,2039,86
oval,2014,87
side,2001,88
see,1996,89
away,1981,90
flew,1949,91
straight,1923,92
plane,1918,93
house,1912,94
move,1910,95
u,1869,96
blinking,1869,97
first,1808,98
going,1806,99
tree,1760,100
spotted,1757,101
dark,1695,102
home,1695,103
right,1637,104
yellow,1637,105
witnessed,1623,106
silver,1607,107
clear,1592,108
ground,1563,109
foot,1561,110
altitude,1553,111
hovered,1531,112
huge,1528,113
towards,1496,114
fire,1493,115
horizon,1493,116
left,1484,117
thought,1455,118
changing,1447,119
floating,1437,120
friend,1431,121
lake,1424,122
air,1418,123
possible,1413,124
th,1403,125
look,1402,126
noise,1398,127
several,1388,128
close,1385,129
heading,1379,130
quickly,1377,131
big,1374,132
moon,1361,133
disk,1360,134
came,1359,135
ca,1347,136
long,1334,137
behind,1316,138
multiple,1286,139
pattern,1283,140
four,1280,141
cigar,1275,142
colored,1271,143
coming,1270,144
starlink,1270,145
witness,1263,146
changed,1238,147
mile,1231,148
fly,1212,149
jet,1209,150
hour,1205,151
car,1196,152
saucer,1194,153
front,1178,154
disappearing,1170,155
extremely,1165,156
made,1163,157
size,1156,158
trail,1132,159
mountain,1132,160
hoax,1131,161
ft,1128,162
window,1120,163
different,1119,164
beach,1111,165
seemed,1098,166
followed,1081,167
something,1059,168
city,1051,169
day,1046,170
w,1046,171
disc,1034,172
shooting,1028,173
approximately,1023,174
top,1010,175
overhead,991,176
sitting,990,177
way,990,178
new,989,179
silently,970,180
space,969,181
min,965,182
video,950,183
degree,949,184
falling,949,185
rate,948,186
picture,944,187
took,939,188
diamond,934,189
stopped,932,190
tail,926,191
morning,924,192
turn,922,193
another,922,194
turned,916,195
suddenly,916,196
road,913,197
sighted,909,198
could,908,199
county,897,200
airplane,892,201
pulsating,892,202
point,886,203
vanished,877,204
meteor,877,205
lit,875,206
v,869,207
distance,869,208
shot,863,209
ocean,860,210
almost,858,211
venus,853,212
would,849,213
got,843,214
toward,841,215
single,836,216
still,822,217
dot,819,218
wife,817,219
western,811,220
approx,803,221
movement,798,222
center,795,223
helicopter,790,224
amber,783,225
metallic,772,226
field,770,227
rapidly,756,228
disappears,755,229
year,753,230
change,751,231
many,750,232
smaller,744,233
work,743,234
watching,743,235
bottom,739,236
san,739,237
photo,734,238
walking,733,239
n,732,240
wa,720,241
cylinder,719,242
eastern,714,243
beam,713,244
making,709,245
started,707,246
daylight,707,247
dog,704,248
five,699,249
highway,694,250
thing,694,251
rectangular,684,252
yard,682,253
along,682,254
eye,682,255
streak,682,256
july,679,257
redorange,673,258
glow,669,259
ne,669,260
following,669,261
southern,669,262
airport,668,263
launch,666,264
go,663,265
evening,663,266
california,661,267
appear,659,268
sight,659,269
dim,658,270
solid,655,271
stop,654,272
group,654,273
starlike,651,274
lighted,650,275
watched,647,276
park,642,277
unknown,636,278
together,635,279
disappear,631,280
faded,631,281
visible,629,282
reddish,627,283
people,626,284
flight,622,285
sw,617,286
heard,613,287
spherical,613,288
head,606,289
northern,605,290
row,604,291
st,603,292
early,602,293
shiny,598,294
gone,597,295
ship,595,296
directly,590,297
florida,590,298
se,589,299
loud,588,300
later,587,301
middle,582,302
ny,579,303
rotating,576,304
angle,571,305
northeast,568,306
nw,568,307
spot,566,308
never,565,309
last,562,310
within,555,311
appears,554,312
valley,551,313
texas,548,314
type,548,315
brighter,547,316
apart,547,317
pa,546,318
sun,546,319
missile,546,320
fl,544,321
hill,541,322
southwest,541,323
northwest,539,324
corner,537,325
river,536,326
caught,536,327
wing,533,328
unusual,532,329
az,530,330
southeast,529,331
leaving,527,332
husband,523,333
military,522,334
appearing,520,335
odd,519,336
cluster,518,337
taking,517,338
come,516,339
ohio,515,340
standing,510,341
headed,509,342
steady,508,343
brilliant,505,344
path,502,345
possibly,496,346
firework,491,347
e,489,348
la,489,349
travelling,486,350
view,482,351
camera,482,352
without,481,353
pulsing,479,354
earth,477,355
place,477,356
orangered,476,357
end,476,358
flickering,476,359
town,473,360
hover,471,361
unidentified,470,362
little,467,363
rd,467,364
get,467,365
level,465,366
passed,465,367
really,464,368
least,459,369
oregon,456,370
traveled,456,371
nc,454,372
far,448,373
hwy,447,374
rectangle,446,375
chevron,445,376
form,445,377
island,444,378
smoke,443,379
phoenix,443,380
faster,442,381
twinkling,441,382
larger,440,383
perfect,434,384
viewed,434,385
washington,433,386
make,431,387
son,429,388
planet,429,389
weird,428,390
spinning,424,391
sirius,422,392
street,420,393
every,419,394
next,418,395
fall,418,396
know,417,397
ever,415,398
motion,415,399
may,414,400
hovers,413,401
location,408,402
also,406,403
travel,406,404
shoot,404,405
tx,404,406
spaced,403,407
vertical,399,408
flare,399,409
half,397,410
much,396,411
completely,396,412
position,395,413
boomerang,393,414
flashed,393,415
flame,391,416
didnt,391,417
multicolored,391,418
late,388,419
past,388,420
string,387,421
cross,387,422
atmosphere,386,423
six,386,424
bay,386,425
horizontal,382,426
old,381,427
stayed,380,428
split,379,429
full,376,430
sec,372,431
erratically,372,432
central,372,433
fading,372,434
porch,371,435
michigan,370,436
similar,369,437
happened,366,438
set,365,439
maybe,364,440
square,362,441
arizona,361,442
lot,359,443
egg,359,444
daughter,357,445
coast,357,446
grey,355,447
due,355,448
take,353,449
anything,350,450
phone,350,451
illuminated,349,452
hr,348,453
seeing,348,454
show,347,455
erratic,343,456
inside,340,457
nj,340,458
closer,340,459
backyard,339,460
state,339,461
fade,339,462
co,339,463
circling,338,464
event,336,465
turning,336,466
strobe,336,467
contrail,334,468
facing,334,469
gray,331,470
zig,330,471
dancing,329,472
family,327,473
passing,327,474
downtown,327,475
daytime,325,476
rapid,325,477
slightly,324,478
lasted,323,479
neighborhood,320,480
yellowish,320,481
sunset,318,482
ive,318,483
mt,317,484
colorado,317,485
ring,316,486
short,315,487
forth,314,488
mph,312,489
water,311,490
quick,311,491
emitting,311,492
rocket,311,493
los,308,494
seattle,307,495
suspect,306,496
i,306,497
well,305,498
sudden,303,499
balloon,303,500
alien,302,501
gold,301,502
il,301,503
base,300,504
reported,300,505
power,299,506
mi,299,507
spring,298,508
twice,298,509
brightly,297,510
giant,296,511
super,296,512
nothing,294,513
teardrop,293,514
fiery,292,515
edge,288,516
broad,288,517
descending,287,518
shining,285,519
incredible,284,520
im,284,521
faint,283,522
gliding,283,523
live,282,524
perfectly,280,525
angeles,279,526
great,279,527
began,277,528
streaking,277,529
separate,276,530
course,274,531
motionless,274,532
couple,272,533
others,272,534
vehicle,271,535
binoculars,269,536
massive,267,537
thin,267,538
fell,267,539
neon,267,540
week,266,541
horizontally,265,542
football,265,543
downward,265,544
august,265,545
le,264,546
va,264,547
interstate,263,548
parallel,263,549
comet,263,550
vega,263,551
cylindrical,260,552
mo,260,553
navy,259,554
believe,258,555
midnight,258,556
santa,258,557
getting,257,558
storm,256,559
deck,256,560
date,255,561
june,254,562
l,254,563
mother,253,564
source,253,565
notice,253,566
flat,251,567
information,251,568
neighbor,251,569
forming,250,570
kind,248,571
lower,248,572
greenish,248,573
mexico,248,574
freeway,247,575
route,247,576
girlfriend,246,577
dimmed,246,578
brother,245,579
body,244,580
taken,244,581
obj,244,582
building,244,583
dont,244,584
pas,244,585
walked,244,586
vanishes,244,587
quiet,244,588
drone,244,589
upward,243,590
intense,242,591
dissapeared,242,592
chasing,242,593
formed,242,594
illinois,241,595
chicago,241,596
jupiter,240,597
encounter,239,598
wood,239,599
bigger,239,600
bird,237,601
drop,237,602
truck,236,603
door,236,604
york,236,605
vshaped,235,606
station,234,607
chased,234,608
entire,233,609
sc,233,610
exit,233,611
dusk,232,612
burning,232,613
ga,232,614
cone,232,615
said,232,616
think,232,617
tonight,231,618
missouri,231,619
transparent,230,620
school,228,621
afternoon,228,622
became,228,623
diego,228,624
summer,227,625
range,227,626
sped,227,627
nd,227,628
sized,227,629
kept,227,630
golden,226,631
wi,226,632
rural,225,633
pace,225,634
real,224,635
bed,224,636
commercial,224,637
x,224,638
evenly,224,639
dropped,223,640
f,222,641
blink,221,642
called,221,643
cigarette,221,644
wasnt,220,645
mid,220,646
local,219,647
nowhere,219,648
globe,219,649
seem,219,650
underneath,217,651
part,217,652
purple,217,653
rising,215,654
constant,215,655
fort,213,656
hundred,213,657
landing,213,658
crossing,213,659
figure,213,660
probably,213,661
vertically,212,662
reflective,212,663
bluegreen,211,664
yelloworange,211,665
desert,211,666
ten,210,667
dull,210,668
humming,209,669
normal,209,670
random,208,671
series,208,672
tn,208,673
yes,207,674
crossed,207,675
unexplained,207,676
wide,205,677
stopping,205,678
bluish,205,679
lightning,205,680
vanishing,205,681
sat,204,682
sure,204,683
march,203,684
room,202,685
brightness,202,686
land,201,687
ago,201,688
indiana,201,689
ct,201,690
